PID,Age,Sex,Home_X,Home_Y,excluded-modes,income,rank,valueOfTime,Household_ID,Household_num_vehicles,Household_income [$]
10102-2014001139730-085411,56,M,678634.4377125,4819578.9705915,,59016.0,2,18.0,10102-2014001139730-0,3,73573.0
10102-2014001139730-085482,45,F,678579.3792989999,4819372.9640895,,59471.0,1,18.0,10102-2014001139730-0,3,73573.0
10102-2014001175886-086543,26,M,679472.472883,4819377.363451,,0.0,2,18.0,10102-2014001175886-0,3,2161.0
10102-2014001175886-086557,25,F,679472.472883,4819377.363451,,6306.0,0,18.0,10102-2014001175886-0,3,2161.0
10102-2014001176555-086571,49,M,679472.472883,4819377.363451,,15241.0,2,18.0,10102-2014001176555-0,3,14663.0
10102-2014001176555-086611,37,F,679472.472883,4819377.363451,,0.0,1,18.0,10102-2014001176555-0,3,14663.0
10102-2014001187605-087055,73,M,681907.8854990001,4819340.8687385,,0.0,2,18.0,10102-2014001187605-0,3,131460.0
10102-2014001187605-087067,72,F,681907.8854990001,4819340.8687385,,6551.0,1,18.0,10102-2014001187605-0,3,131460.0
10102-2014001213505-187554,60,M,681700.177082,4819440.9804735,,0.0,0,18.0,10102-2014001213505-1,5,118915.0
10102-2014001213505-187598,57,F,681700.177082,4819440.9804735,,0.0,1,18.0,10102-2014001213505-1,5,118915.0
10102-2014001213505-187642,2,F,681700.177082,4819440.9804735,car,0.0,4,18.0,10102-2014001213505-1,5,118915.0
10102-2014001213505-187686,14,M,681700.177082,4819440.9804735,car,0.0,3,18.0,10102-2014001213505-1,5,118915.0
10102-2014001213505-187730,16,M,681700.177082,4819440.9804735,,0.0,5,18.0,10102-2014001213505-1,5,118915.0
10102-2014001239636-188173,66,M,681907.8854990001,4819340.8687385,,0.0,1,18.0,10102-2014001239636-1,3,11736.0
10102-2014001239636-188216,55,F,681907.8854990001,4819340.8687385,,27575.0,2,18.0,10102-2014001239636-1,3,11736.0
10102-2014001327426-089331,73,F,679472.472883,4819377.363451,,0.0,2,18.0,10102-2014001327426-0,3,44905.0
10102-2014001327426-089372,66,M,679472.472883,4819377.363451,,0.0,0,18.0,10102-2014001327426-0,3,44905.0
10102-2014001327426-189332,71,F,680599.7492335,4819408.7224395,,0.0,0,18.0,10102-2014001327426-1,3,127151.0
10102-2014001327426-189373,73,M,680599.7492335,4819408.7224395,,0.0,1,18.0,10102-2014001327426-1,3,127151.0
10102-2014001331845-089467,29,M,679472.472883,4819377.363451,,19317.0,0,18.0,10102-2014001331845-0,3,15325.0
10102-2014001331845-089522,31,F,679472.472883,4819377.363451,,11735.0,2,18.0,10102-2014001331845-0,3,15325.0
10102-2014001355294-189900,68,M,680599.7492335,4819408.7224395,,0.0,1,18.0,10102-2014001355294-1,3,8151.0
10102-2014001355294-189938,38,F,680599.7492335,4819408.7224395,,71431.0,2,18.0,10102-2014001355294-1,3,8151.0
10102-2014001359572-190063,41,F,679472.472883,4819377.363451,,13807.0,2,18.0,10102-2014001359572-1,3,43719.0
10102-2014001359572-190124,66,M,679472.472883,4819377.363451,,0.0,1,18.0,10102-2014001359572-1,3,43719.0
10102-2014001404766-090696,42,M,681907.8854990001,4819340.8687385,,29403.0,0,18.0,10102-2014001404766-0,4,72459.0
10102-2014001404766-090733,41,F,681907.8854990001,4819340.8687385,,30312.0,1,18.0,10102-2014001404766-0,4,72459.0
10102-2014001404766-090770,16,M,681907.8854990001,4819340.8687385,,0.0,2,18.0,10102-2014001404766-0,4,72459.0
10102-2014001424863-190884,37,F,680191.7138449999,4819128.9226905,,54649.0,0,18.0,10102-2014001424863-1,3,41054.0
10102-2014001424863-190924,55,F,680191.7138449999,4819128.9226905,,35069.0,1,18.0,10102-2014001424863-1,3,41054.0
10102-2014001459793-191370,31,M,681907.8854990001,4819340.8687385,,19658.0,1,18.0,10102-2014001459793-1,3,9463.0
10102-2014001459793-191421,30,F,681907.8854990001,4819340.8687385,,32140.0,2,18.0,10102-2014001459793-1,3,9463.0
10102-2015000025937-091771,27,M,681907.8854990001,4819340.8687385,,39855.0,3,18.0,10102-2015000025937-0,5,110826.0
10102-2015000025937-091781,23,F,681907.8854990001,4819340.8687385,,23304.0,0,18.0,10102-2015000025937-0,5,110826.0
10102-2015000025937-091791,4,M,681907.8854990001,4819340.8687385,car,0.0,4,18.0,10102-2015000025937-0,5,110826.0
10102-2015000025937-091801,2,F,681907.8854990001,4819340.8687385,car,0.0,5,18.0,10102-2015000025937-0,5,110826.0
10102-2015000025937-091811,11,F,681907.8854990001,4819340.8687385,car,0.0,2,18.0,10102-2015000025937-0,5,110826.0
10102-2015000050024-092312,26,F,679472.472883,4819377.363451,,8943.0,2,18.0,10102-2015000050024-0,3,39372.0
10102-2015000050024-092412,52,M,679472.472883,4819377.363451,,32434.0,0,18.0,10102-2015000050024-0,3,39372.0
10102-2015000050024-192313,31,F,680191.7138449999,4819128.9226905,,40281.0,0,18.0,10102-2015000050024-1,3,122662.0
10102-2015000050024-192413,55,M,680191.7138449999,4819128.9226905,,67544.0,1,18.0,10102-2015000050024-1,3,122662.0
10102-2015000050024-492316,27,F,679472.472883,4819377.363451,,8398.0,2,18.0,10102-2015000050024-4,3,149481.0
10102-2015000050024-492416,63,M,679472.472883,4819377.363451,,64775.0,0,18.0,10102-2015000050024-4,3,149481.0
10102-2015000128096-193217,36,F,680191.7138449999,4819128.9226905,,34969.0,1,18.0,10102-2015000128096-1,5,60164.0
10102-2015000128096-193262,38,M,680191.7138449999,4819128.9226905,,141265.0,2,18.0,10102-2015000128096-1,5,60164.0
10102-2015000128096-193307,4,M,680191.7138449999,4819128.9226905,car,0.0,4,18.0,10102-2015000128096-1,5,60164.0
10102-2015000128096-193352,11,M,680191.7138449999,4819128.9226905,car,0.0,0,18.0,10102-2015000128096-1,5,60164.0
10102-2015000224295-095765,43,M,679472.472883,4819377.363451,,93720.0,0,18.0,10102-2015000224295-0,3,16611.0
10102-2015000224295-095803,24,F,679472.472883,4819377.363451,,71073.0,2,18.0,10102-2015000224295-0,3,16611.0
10102-2015000224295-195766,40,M,679472.472883,4819377.363451,,27762.0,0,18.0,10102-2015000224295-1,3,99569.0
10102-2015000224295-195804,29,F,679472.472883,4819377.363451,,23690.0,1,18.0,10102-2015000224295-1,3,99569.0
10102-2015000242580-095841,65,F,681700.177082,4819440.9804735,,0.0,1,18.0,10102-2015000242580-0,3,34196.0
10102-2015000242580-095867,72,M,681700.177082,4819440.9804735,,0.0,2,18.0,10102-2015000242580-0,3,34196.0
10102-2015000273058-096383,50,F,679472.472883,4819377.363451,,24542.0,0,18.0,10102-2015000273058-0,3,27477.0
10102-2015000273058-096401,50,M,679472.472883,4819377.363451,,20735.0,1,18.0,10102-2015000273058-0,3,27477.0
10102-2015000354490-097779,40,M,678634.4377125,4819578.9705915,,0.0,0,18.0,10102-2015000354490-0,3,136834.0
10102-2015000354490-097796,35,F,678579.3792989999,4819372.9640895,,38531.0,2,18.0,10102-2015000354490-0,3,136834.0
10102-2015000362210-097853,67,F,680599.7492335,4819408.7224395,,31534.0,0,18.0,10102-2015000362210-0,2,33114.0
10102-2015000362210-197854,66,F,678579.3792989999,4819372.9640895,,18900.0,1,18.0,10102-2015000362210-1,2,36184.0
10102-2015000362210-397856,73,F,679472.472883,4819377.363451,,3483.0,1,18.0,10102-2015000362210-3,2,2602.0
10102-2015000383841-098320,25,M,681700.177082,4819440.9804735,,28512.0,0,18.0,10102-2015000383841-0,2,15605.0
10102-2015000391769-098479,24,F,679472.472883,4819377.363451,,17613.0,0,18.0,10102-2015000391769-0,5,21428.0
10102-2015000391769-098497,22,M,679472.472883,4819377.363451,,23550.0,1,18.0,10102-2015000391769-0,5,21428.0
10102-2015000391769-098515,14,M,679472.472883,4819377.363451,car,0.0,2,18.0,10102-2015000391769-0,5,21428.0
10102-2015000391769-098533,15,M,679472.472883,4819377.363451,car,0.0,4,18.0,10102-2015000391769-0,5,21428.0
10102-2015000401067-199285,68,F,679641.65877,4819582.2603319995,,0.0,0,18.0,10102-2015000401067-1,2,4106.0
10102-2015000497063-0100207,70,F,678579.3792989999,4819372.9640895,,0.0,0,18.0,10102-2015000497063-0,3,141755.0
10102-2015000497063-0100249,40,M,678634.4377125,4819578.9705915,,0.0,2,18.0,10102-2015000497063-0,3,141755.0
10102-2015000502599-1100292,49,F,680191.7138449999,4819128.9226905,,40364.0,2,18.0,10102-2015000502599-1,5,47165.0
10102-2015000502599-1100335,57,M,680191.7138449999,4819128.9226905,,20503.0,3,18.0,10102-2015000502599-1,5,47165.0
10102-2015000502599-1100378,29,M,680191.7138449999,4819128.9226905,,20506.0,0,18.0,10102-2015000502599-1,5,47165.0
10102-2015000502599-1100421,9,F,680191.7138449999,4819128.9226905,car,0.0,4,18.0,10102-2015000502599-1,5,47165.0
10102-2015000516151-0100463,36,F,680191.7138449999,4819128.9226905,,15746.0,2,18.0,10102-2015000516151-0,4,142149.0
10102-2015000516151-0100472,41,M,680191.7138449999,4819128.9226905,,57495.0,0,18.0,10102-2015000516151-0,4,142149.0
10102-2015000516151-0100481,55,M,680191.7138449999,4819128.9226905,,11169.0,3,18.0,10102-2015000516151-0,4,142149.0
10102-2015000518940-0100564,57,F,681700.177082,4819440.9804735,,2471.0,0,18.0,10102-2015000518940-0,2,31765.0
10102-2015000557350-4101064,21,F,681700.177082,4819440.9804735,,0.0,2,18.0,10102-2015000557350-4,5,118137.0
10102-2015000557350-4101163,8,M,681700.177082,4819440.9804735,car,0.0,4,18.0,10102-2015000557350-4,5,118137.0
10102-2015000557350-4101262,14,F,681700.177082,4819440.9804735,car,0.0,0,18.0,10102-2015000557350-4,5,118137.0
10102-2015000557350-4101361,22,F,681700.177082,4819440.9804735,,17257.0,1,18.0,10102-2015000557350-4,5,118137.0
10102-2015000587753-1101831,43,F,681700.177082,4819440.9804735,,0.0,5,18.0,10102-2015000587753-1,5,105975.0
10102-2015000587753-1101869,36,M,681700.177082,4819440.9804735,,33457.0,0,18.0,10102-2015000587753-1,5,105975.0
10102-2015000587753-1101907,31,F,681700.177082,4819440.9804735,,24934.0,2,18.0,10102-2015000587753-1,5,105975.0
10102-2015000587753-1101945,27,F,681700.177082,4819440.9804735,,14057.0,4,18.0,10102-2015000587753-1,5,105975.0
10102-2015000587753-1101983,2,M,681700.177082,4819440.9804735,car,0.0,1,18.0,10102-2015000587753-1,5,105975.0
10102-2015000606577-3102337,43,M,679472.472883,4819377.363451,,75278.0,1,18.0,10102-2015000606577-3,3,24828.0
10102-2015000606577-3102542,58,M,679472.472883,4819377.363451,,18666.0,2,18.0,10102-2015000606577-3,3,24828.0
10102-2015000645635-1103720,54,F,679472.472883,4819377.363451,,39279.0,1,18.0,10102-2015000645635-1,2,14746.0
10102-2015000666520-1103912,66,F,680191.7138449999,4819128.9226905,,0.0,2,18.0,10102-2015000666520-1,3,34744.0
10102-2015000666520-1103952,69,M,680191.7138449999,4819128.9226905,,13315.0,1,18.0,10102-2015000666520-1,3,34744.0
10102-2015000690052-1104248,67,F,681907.8854990001,4819340.8687385,,0.0,0,18.0,10102-2015000690052-1,2,32200.0
10102-2015000726028-2105103,18,F,680599.7492335,4819408.7224395,,5291.0,2,18.0,10102-2015000726028-2,5,23295.0
10102-2015000726028-2105202,31,M,680599.7492335,4819408.7224395,,984.0,0,18.0,10102-2015000726028-2,5,23295.0
10102-2015000726028-2105301,12,M,680599.7492335,4819408.7224395,car,17082.0,4,18.0,10102-2015000726028-2,5,23295.0
10102-2015000726028-2105400,1,M,680599.7492335,4819408.7224395,car,19860.0,1,18.0,10102-2015000726028-2,5,23295.0
10102-2015000727153-2105499,52,M,681700.177082,4819440.9804735,,70273.0,1,18.0,10102-2015000727153-2,3,36798.0
10102-2015000727153-2105573,63,F,681700.177082,4819440.9804735,,52822.0,2,18.0,10102-2015000727153-2,3,36798.0
10102-2015000769721-1106302,22,F,679472.472883,4819377.363451,,0.0,2,18.0,10102-2015000769721-1,5,923.0
10102-2015000769721-1106345,26,M,679472.472883,4819377.363451,,0.0,6,18.0,10102-2015000769721-1,5,923.0
10102-2015000769721-1106388,0,F,679472.472883,4819377.363451,car,0.0,4,18.0,10102-2015000769721-1,5,923.0
10102-2015000769721-1106431,0,F,679472.472883,4819377.363451,car,0.0,0,18.0,10102-2015000769721-1,5,923.0
10102-2015000769721-1106474,6,M,679472.472883,4819377.363451,car,0.0,1,18.0,10102-2015000769721-1,5,923.0
10102-2015000769721-1106517,52,F,679472.472883,4819377.363451,,56491.0,3,18.0,10102-2015000769721-1,5,923.0
10102-2015000784380-0106828,41,M,678579.3792989999,4819372.9640895,,28806.0,1,18.0,10102-2015000784380-0,2,34815.0
10102-2015000788333-1107061,20,F,680191.7138449999,4819128.9226905,,10450.0,0,18.0,10102-2015000788333-1,2,13806.0
10102-2015000788456-0107096,53,M,680191.7138449999,4819128.9226905,,27410.0,3,18.0,10102-2015000788456-0,5,94944.0
10102-2015000788456-0107103,63,F,680191.7138449999,4819128.9226905,,4979.0,2,18.0,10102-2015000788456-0,5,94944.0
10102-2015000788456-0107110,16,M,680191.7138449999,4819128.9226905,,0.0,1,18.0,10102-2015000788456-0,5,94944.0
10102-2015000788456-0107117,14,F,680191.7138449999,4819128.9226905,car,0.0,0,18.0,10102-2015000788456-0,5,94944.0
10102-2015000790225-0107124,62,F,678634.4377125,4819578.9705915,,0.0,0,18.0,10102-2015000790225-0,3,95427.0
10102-2015000790225-0107141,50,M,678579.3792989999,4819372.9640895,,19502.0,2,18.0,10102-2015000790225-0,3,95427.0
10102-2015000804471-0107878,45,M,680599.7492335,4819408.7224395,,65738.0,3,18.0,10102-2015000804471-0,5,51204.0
10102-2015000804471-0107950,19,F,680599.7492335,4819408.7224395,,7983.0,1,18.0,10102-2015000804471-0,5,51204.0
10102-2015000804471-0108022,10,M,680599.7492335,4819408.7224395,car,0.0,2,18.0,10102-2015000804471-0,5,51204.0
10102-2015000804471-0108094,70,F,680599.7492335,4819408.7224395,,36185.0,4,18.0,10102-2015000804471-0,5,51204.0
10102-2015000816977-1109027,57,F,681700.177082,4819440.9804735,,70011.0,2,18.0,10102-2015000816977-1,3,19651.0
10102-2015000816977-1109136,8,M,681700.177082,4819440.9804735,car,0.0,0,18.0,10102-2015000816977-1,3,19651.0
10102-2015000816977-3109029,37,F,680191.7138449999,4819128.9226905,,73385.0,2,18.0,10102-2015000816977-3,3,62296.0
10102-2015000816977-3109138,9,M,680191.7138449999,4819128.9226905,car,0.0,1,18.0,10102-2015000816977-3,3,62296.0
10102-2015000820305-0109244,39,M,680191.7138449999,4819128.9226905,,27509.0,0,18.0,10102-2015000820305-0,3,69224.0
10102-2015000820305-0109278,39,F,680191.7138449999,4819128.9226905,,0.0,2,18.0,10102-2015000820305-0,3,69224.0
10102-2015000833379-1109769,67,M,679472.472883,4819377.363451,,0.0,1,18.0,10102-2015000833379-1,3,89276.0
10102-2015000833379-1109813,73,F,679472.472883,4819377.363451,,0.0,2,18.0,10102-2015000833379-1,3,89276.0
10102-2015000949415-2112837,54,M,681907.8854990001,4819340.8687385,,31014.0,0,18.0,10102-2015000949415-2,4,62970.0
10102-2015000949415-2112906,13,M,681907.8854990001,4819340.8687385,car,0.0,3,18.0,10102-2015000949415-2,4,62970.0
10102-2015000949415-2112975,11,F,681907.8854990001,4819340.8687385,car,0.0,2,18.0,10102-2015000949415-2,4,62970.0
10102-2015000974765-1113540,29,F,681700.177082,4819440.9804735,,9684.0,2,18.0,10102-2015000974765-1,3,87189.0
10102-2015000974765-1113599,33,M,681700.177082,4819440.9804735,,19046.0,1,18.0,10102-2015000974765-1,3,87189.0
10102-2015000997103-0113823,69,F,679472.472883,4819377.363451,,0.0,1,18.0,10102-2015000997103-0,2,4199.0
10102-2015000999068-1113827,63,F,681907.8854990001,4819340.8687385,,79757.0,1,18.0,10102-2015000999068-1,2,34708.0
10102-2015001014127-0114094,49,M,680191.7138449999,4819128.9226905,,25155.0,0,18.0,10102-2015001014127-0,2,30273.0
10102-2015001024517-0114513,40,F,680191.7138449999,4819128.9226905,,18027.0,2,18.0,10102-2015001024517-0,4,148023.0
10102-2015001024517-0114557,35,M,680191.7138449999,4819128.9226905,,0.0,3,18.0,10102-2015001024517-0,4,148023.0
10102-2015001024517-0114601,18,M,680191.7138449999,4819128.9226905,,1357.0,1,18.0,10102-2015001024517-0,4,148023.0
10102-2015001064743-1115314,18,F,680191.7138449999,4819128.9226905,,32372.0,1,18.0,10102-2015001064743-1,3,47865.0
10102-2015001064743-1115352,31,M,680191.7138449999,4819128.9226905,,5006.0,2,18.0,10102-2015001064743-1,3,47865.0
10102-2015001065193-0115389,48,F,678579.3792989999,4819372.9640895,,68480.0,0,18.0,10102-2015001065193-0,2,11266.0
10102-2015001105083-1116067,73,F,679472.472883,4819377.363451,,0.0,1,18.0,10102-2015001105083-1,2,39426.0
10102-2015001143779-1116593,62,M,680191.7138449999,4819128.9226905,,31592.0,1,18.0,10102-2015001143779-1,2,18052.0
10102-2015001146120-1116632,73,M,680599.7492335,4819408.7224395,,19214.0,0,18.0,10102-2015001146120-1,3,39854.0
10102-2015001146120-1116675,70,F,680599.7492335,4819408.7224395,,0.0,1,18.0,10102-2015001146120-1,3,39854.0
10102-2015001162246-2116882,42,F,680599.7492335,4819408.7224395,,16602.0,4,18.0,10102-2015001162246-2,5,142307.0
10102-2015001162246-2116990,2,F,680599.7492335,4819408.7224395,car,0.0,3,18.0,10102-2015001162246-2,5,142307.0
10102-2015001162246-2117098,11,M,680599.7492335,4819408.7224395,car,0.0,2,18.0,10102-2015001162246-2,5,142307.0
10102-2015001162246-2117206,13,M,680599.7492335,4819408.7224395,car,0.0,0,18.0,10102-2015001162246-2,5,142307.0
10102-2015001164577-0117312,46,M,680191.7138449999,4819128.9226905,,0.0,4,18.0,10102-2015001164577-0,5,28971.0
10102-2015001164577-0117343,16,F,680191.7138449999,4819128.9226905,,0.0,0,18.0,10102-2015001164577-0,5,28971.0
10102-2015001164577-0117374,3,F,680191.7138449999,4819128.9226905,car,0.0,1,18.0,10102-2015001164577-0,5,28971.0
10102-2015001164577-0117405,6,M,680191.7138449999,4819128.9226905,car,0.0,5,18.0,10102-2015001164577-0,5,28971.0
10102-2015001164577-0117436,37,F,680191.7138449999,4819128.9226905,,55578.0,2,18.0,10102-2015001164577-0,5,28971.0
10102-2015001175837-0117537,56,M,681700.177082,4819440.9804735,,129784.0,2,18.0,10102-2015001175837-0,3,8495.0
10102-2015001175837-0117580,38,F,681700.177082,4819440.9804735,,13552.0,0,18.0,10102-2015001175837-0,3,8495.0
10102-2015001182892-0117673,63,M,678579.3792989999,4819372.9640895,,0.0,0,18.0,10102-2015001182892-0,2,36542.0
10102-2015001195146-1117716,28,F,681700.177082,4819440.9804735,,32942.0,2,18.0,10102-2015001195146-1,3,78409.0
10102-2015001195146-1117834,4,F,681700.177082,4819440.9804735,car,0.0,0,18.0,10102-2015001195146-1,3,78409.0
10102-2015001275562-0119857,61,M,680191.7138449999,4819128.9226905,,16520.0,1,18.0,10102-2015001275562-0,2,23039.0
10102-2015001283493-0119976,63,M,678634.4377125,4819578.9705915,,38377.0,2,18.0,10102-2015001283493-0,3,2536.0
10102-2015001283493-0120002,60,F,678579.3792989999,4819372.9640895,,37971.0,0,18.0,10102-2015001283493-0,3,2536.0
10102-2015001324443-0121260,35,M,678634.4377125,4819578.9705915,,46519.0,0,18.0,10102-2015001324443-0,5,90175.0
10102-2015001324443-0121280,60,F,678634.4377125,4819578.9705915,,0.0,5,18.0,10102-2015001324443-0,5,90175.0
10102-2015001324443-0121300,28,F,678634.4377125,4819578.9705915,,11810.0,4,18.0,10102-2015001324443-0,5,90175.0
10102-2015001324443-0121320,28,F,678634.4377125,4819578.9705915,,299.0,6,18.0,10102-2015001324443-0,5,90175.0
10102-2015001324443-0121340,15,M,678634.4377125,4819578.9705915,car,0.0,3,18.0,10102-2015001324443-0,5,90175.0
10102-2015001324443-0121360,2,M,678579.3792989999,4819372.9640895,car,0.0,1,18.0,10102-2015001324443-0,5,90175.0
10102-2015001360314-0121782,19,M,681700.177082,4819440.9804735,,33004.0,1,18.0,10102-2015001360314-0,2,35361.0
10102-2015001363337-0121803,51,M,679472.472883,4819377.363451,,137854.0,0,18.0,10102-2015001363337-0,5,28617.0
10102-2015001363337-0121816,47,F,679472.472883,4819377.363451,,27336.0,1,18.0,10102-2015001363337-0,5,28617.0
10102-2015001363337-0121829,13,F,679472.472883,4819377.363451,car,0.0,4,18.0,10102-2015001363337-0,5,28617.0
10102-2015001363337-0121842,11,F,679472.472883,4819377.363451,car,0.0,3,18.0,10102-2015001363337-0,5,28617.0
10102-2015001384599-1122080,59,M,680191.7138449999,4819128.9226905,,32994.0,2,18.0,10102-2015001384599-1,5,35054.0
10102-2015001384599-1122123,62,F,680191.7138449999,4819128.9226905,,0.0,1,18.0,10102-2015001384599-1,5,35054.0
10102-2015001384599-1122166,1,F,680191.7138449999,4819128.9226905,car,0.0,4,18.0,10102-2015001384599-1,5,35054.0
10102-2015001384599-1122209,1,F,680191.7138449999,4819128.9226905,car,0.0,0,18.0,10102-2015001384599-1,5,35054.0
10102-2015001384599-1122252,8,F,680191.7138449999,4819128.9226905,car,0.0,3,18.0,10102-2015001384599-1,5,35054.0
10102-2015001410870-1122726,68,F,681700.177082,4819440.9804735,,0.0,0,18.0,10102-2015001410870-1,2,12373.0
10102-2015001423993-0122921,20,F,679472.472883,4819377.363451,,24937.0,0,18.0,10102-2015001423993-0,3,134058.0
10102-2015001423993-0122944,9,F,679472.472883,4819377.363451,car,0.0,1,18.0,10102-2015001423993-0,3,134058.0
10102-2015001427751-0122967,37,M,681907.8854990001,4819340.8687385,,93948.0,0,18.0,10102-2015001427751-0,2,6543.0
10102-2015001431732-0123012,70,M,680191.7138449999,4819128.9226905,,0.0,1,18.0,10102-2015001431732-0,3,15005.0
10102-2015001431732-0123055,46,F,680191.7138449999,4819128.9226905,,32462.0,0,18.0,10102-2015001431732-0,3,15005.0
10102-2015001462558-0123334,65,F,680191.7138449999,4819128.9226905,,0.0,0,18.0,10102-2015001462558-0,2,520.0
10102-2015001490278-0123539,36,M,678634.4377125,4819578.9705915,,4595.0,2,18.0,10102-2015001490278-0,3,27701.0
10102-2015001490278-0123567,55,F,678579.3792989999,4819372.9640895,,0.0,0,18.0,10102-2015001490278-0,3,27701.0
10102-2015001491257-0123595,29,F,680599.7492335,4819408.7224395,,30588.0,0,18.0,10102-2015001491257-0,5,142533.0
10102-2015001491257-0123631,24,M,680599.7492335,4819408.7224395,,54664.0,2,18.0,10102-2015001491257-0,5,142533.0
10102-2015001491257-0123667,15,M,680599.7492335,4819408.7224395,car,27678.0,4,18.0,10102-2015001491257-0,5,142533.0
10102-2015001491257-0123703,3,F,680599.7492335,4819408.7224395,car,979.0,3,18.0,10102-2015001491257-0,5,142533.0
10102-2015001496562-0123807,73,M,681907.8854990001,4819340.8687385,,39823.0,0,18.0,10102-2015001496562-0,3,7016.0
10102-2015001496562-0123833,73,F,681907.8854990001,4819340.8687385,,0.0,1,18.0,10102-2015001496562-0,3,7016.0
10102-2015001497912-0123859,48,M,679472.472883,4819377.363451,,0.0,0,18.0,10102-2015001497912-0,5,140436.0
10102-2015001497912-0123877,7,M,679472.472883,4819377.363451,car,0.0,1,18.0,10102-2015001497912-0,5,140436.0
10102-2015001497912-0123895,4,M,679472.472883,4819377.363451,car,0.0,4,18.0,10102-2015001497912-0,5,140436.0
10102-2015001497912-0123913,53,F,679472.472883,4819377.363451,,38472.0,2,18.0,10102-2015001497912-0,5,140436.0
10102-2016000027085-0124830,72,M,681700.177082,4819440.9804735,,0.0,1,18.0,10102-2016000027085-0,3,99651.0
10102-2016000027085-0124845,66,F,681700.177082,4819440.9804735,,0.0,0,18.0,10102-2016000027085-0,3,99651.0
10102-2016000029416-0124860,44,F,678634.4377125,4819578.9705915,,0.0,0,18.0,10102-2016000029416-0,5,135181.0
10102-2016000029416-0124951,52,M,678634.4377125,4819578.9705915,,38413.0,3,18.0,10102-2016000029416-0,5,135181.0
10102-2016000029416-0125042,20,M,678634.4377125,4819578.9705915,,0.0,2,18.0,10102-2016000029416-0,5,135181.0
10102-2016000029416-0125133,33,M,678579.3792989999,4819372.9640895,,0.0,4,18.0,10102-2016000029416-0,5,135181.0
10102-2016000029416-4124864,41,F,681907.8854990001,4819340.8687385,,6945.0,3,18.0,10102-2016000029416-4,5,5026.0
10102-2016000029416-4124955,46,M,681907.8854990001,4819340.8687385,,29350.0,1,18.0,10102-2016000029416-4,5,5026.0
10102-2016000029416-4125046,24,M,681907.8854990001,4819340.8687385,,36808.0,2,18.0,10102-2016000029416-4,5,5026.0
10102-2016000029416-4125137,18,M,681907.8854990001,4819340.8687385,,22114.0,4,18.0,10102-2016000029416-4,5,5026.0
10102-2016000047389-0125729,53,F,679641.65877,4819582.2603319995,,108103.0,0,18.0,10102-2016000047389-0,3,49492.0
10102-2016000047389-0125769,35,M,679641.65877,4819582.2603319995,,75777.0,1,18.0,10102-2016000047389-0,3,49492.0
10102-2016000086561-1126718,54,M,679472.472883,4819377.363451,,77617.0,4,18.0,10102-2016000086561-1,5,5791.0
10102-2016000086561-1126756,45,F,679472.472883,4819377.363451,,0.0,0,18.0,10102-2016000086561-1,5,5791.0
10102-2016000086561-1126794,6,F,679472.472883,4819377.363451,car,0.0,3,18.0,10102-2016000086561-1,5,5791.0
10102-2016000086561-1126832,6,M,679472.472883,4819377.363451,car,0.0,2,18.0,10102-2016000086561-1,5,5791.0
10102-2016000114870-0127319,49,M,681700.177082,4819440.9804735,,55716.0,1,18.0,10102-2016000114870-0,3,110546.0
10102-2016000114870-0127353,48,F,681700.177082,4819440.9804735,,26137.0,0,18.0,10102-2016000114870-0,3,110546.0
10102-2016000116811-3127400,50,F,680191.7138449999,4819128.9226905,,34681.0,3,18.0,10102-2016000116811-3,5,66270.0
10102-2016000116811-3127527,33,M,680191.7138449999,4819128.9226905,,11875.0,1,18.0,10102-2016000116811-3,5,66270.0
10102-2016000116811-3127654,5,M,680191.7138449999,4819128.9226905,car,0.0,5,18.0,10102-2016000116811-3,5,66270.0
10102-2016000116811-3127781,6,M,680191.7138449999,4819128.9226905,car,0.0,2,18.0,10102-2016000116811-3,5,66270.0
10102-2016000116811-3127908,0,F,680191.7138449999,4819128.9226905,car,0.0,4,18.0,10102-2016000116811-3,5,66270.0
10102-2016000171219-0128778,29,M,681907.8854990001,4819340.8687385,,17867.0,2,18.0,10102-2016000171219-0,4,119239.0
10102-2016000171219-0128813,33,F,681907.8854990001,4819340.8687385,,1051.0,1,18.0,10102-2016000171219-0,4,119239.0
10102-2016000171219-0128848,35,M,681907.8854990001,4819340.8687385,,22514.0,0,18.0,10102-2016000171219-0,4,119239.0
10102-2016000233714-0129900,48,M,681907.8854990001,4819340.8687385,,39220.0,0,18.0,10102-2016000233714-0,2,14728.0
10102-2016000254775-0130817,41,M,679641.65877,4819582.2603319995,,0.0,0,18.0,10102-2016000254775-0,2,15077.0
10102-2016000255662-0130850,53,M,681700.177082,4819440.9804735,,29223.0,0,18.0,10102-2016000255662-0,2,19283.0
10102-2016000332872-1132092,49,M,678579.3792989999,4819372.9640895,,60516.0,1,18.0,10102-2016000332872-1,2,19288.0
10102-2016000351192-0132330,29,F,678579.3792989999,4819372.9640895,,25255.0,0,18.0,10102-2016000351192-0,3,32587.0
10102-2016000351192-0132361,27,M,678634.4377125,4819578.9705915,,34179.0,2,18.0,10102-2016000351192-0,3,32587.0
10102-2016000384704-0133119,18,F,678579.3792989999,4819372.9640895,,0.0,0,18.0,10102-2016000384704-0,2,7096.0
10102-2016000389885-0133141,18,M,679472.472883,4819377.363451,,35106.0,0,18.0,10102-2016000389885-0,5,76174.0
